ANSWERED,INCOME,FEMALE,AGE,JOB,NUM_DEPENDENTS,RENT,OWN_RES,NEW_CAR,CHK_ACCT,SAV_ACCT,NUM_ACCTS,MOBILE,PRODUCT
0,18635,0,21,1,1,0,1,0,1,0,2,0,0
0,35733,0,30,2,1,0,1,0,0,0,3,0,0
1,11310,0,41,2,2,0,1,0,1,0,4,0,4
0,42512,0,28,2,1,0,1,0,0,2,2,0,0
1,13471,0,29,3,1,0,1,0,3,4,2,0,2
1,11964,0,33,3,1,0,1,0,0,0,1,0,1
0,30496,0,54,2,1,0,1,0,0,0,2,0,0
1,15521,0,22,1,1,0,1,0,3,3,2,0,1
1,17368,0,58,1,1,0,1,0,1,0,4,0,4
0,8949,0,29,2,1,0,1,1,0,0,0,0,0
1,16068,0,52,3,1,0,1,0,2,0,1,0,1
1,11197,0,46,2,1,0,1,0,3,0,2,0,3
0,15215,0,23,2,1,0,1,0,3,0,1,0,4
0,19314,0,33,2,1,0,1,0,2,0,4,0,0
1,4045,0,22,2,2,1,0,0,1,3,1,0,0
1,21262,0,34,2,1,0,0,0,3,1,3,0,1
1,11908,0,24,1,1,0,1,1,0,0,2,0,3
1,9415,0,49,2,1,0,1,1,0,0,3,0,3
0,83261,0,47,2,2,0,0,0,0,4,1,1,0
1,25342,0,39,2,1,0,1,0,0,0,4,0,0
1,47908,0,45,2,1,1,0,0,3,4,4,1,4
1,83432,0,29,2,1,0,0,0,3,0,4,1,0
0,40708,1,44,2,1,0,1,0,1,0,3,0,0
1,4956,0,26,1,1,0,1,0,1,0,1,0,1
0,3826,0,39,2,1,1,0,0,3,0,2,0,0
1,38566,0,34,2,1,0,0,1,3,0,1,0,4
0,145564,1,23,2,1,0,1,1,1,4,0,0,0
0,70995,0,28,3,1,0,1,0,0,4,3,0,0
0,15713,1,33,2,1,0,1,0,1,3,2,0,2
1,12839,0,26,1,1,1,0,0,3,0,4,0,4
1,27150,0,57,2,1,0,0,0,1,4,4,1,4
1,12015,0,31,2,1,0,1,0,0,4,4,0,0
0,26145,0,41,1,2,0,0,1,0,0,1,0,0
0,19783,1,33,2,1,0,1,0,3,0,0,0,2
0,83348,0,61,2,1,0,0,0,0,1,4,1,0
1,17829,0,28,2,1,1,0,0,3,0,2,0,2
0,31255,1,31,1,1,0,1,0,0,0,2,0,0
1,76626,0,36,3,2,0,0,0,1,1,0,0,4
1,40542,0,25,2,1,1,0,0,3,0,3,0,4
1,9912,0,46,2,1,0,1,1,1,3,3,0,1
0,31036,0,55,2,1,1,0,0,0,0,2,0,0
1,13964,0,22,2,1,0,1,0,1,0,1,0,0
1,50814,0,30,3,1,0,1,0,1,0,2,0,0
1,22171,1,63,3,1,0,1,1,0,2,3,0,3
1,59971,0,33,2,1,0,1,1,1,0,3,0,2
0,79868,0,33,3,1,0,1,1,1,1,4,0,0
1,25118,0,51,1,1,0,0,1,3,2,4,0,4
0,7753,0,60,1,1,0,1,0,1,2,2,0,0
1,13870,0,39,3,1,0,1,0,3,0,2,0,2
1,59637,0,35,1,1,0,0,0,1,0,1,0,1
0,52423,0,28,2,1,0,1,1,1,0,0,0,0
1,16177,0,34,2,1,0,1,1,3,3,4,0,3
1,25058,0,22,2,2,0,1,0,0,0,4,0,2
1,14684,0,30,3,1,0,1,0,2,4,4,0,4
1,33216,0,65,0,1,0,1,0,0,0,0,0,4
1,27043,0,46,2,1,0,0,0,1,0,2,0,0
1,15158,0,48,2,2,0,1,0,3,0,4,0,0
1,13851,0,32,3,1,0,1,0,2,4,4,0,4
1,36483,0,26,1,1,1,0,0,0,0,3,0,4
0,15455,0,28,2,1,0,1,0,3,0,2,0,0
1,12186,0,36,2,1,0,1,0,3,4,4,0,2
1,25023,1,36,3,1,0,1,1,1,2,3,0,3
1,59838,0,31,2,2,0,1,0,1,0,3,0,2
1,9196,0,44,2,1,0,1,0,1,4,4,0,4
1,9765,0,37,1,1,0,1,1,1,0,3,0,0
1,59629,0,27,3,2,0,1,0,1,0,4,1,2
1,22196,0,57,2,2,0,1,0,3,4,4,1,4
1,11312,0,61,2,1,0,0,0,1,0,2,0,4
0,22203,0,32,2,1,0,0,1,1,0,4,0,0
1,22746,1,31,2,1,1,0,0,0,4,2,0,0
1,41415,0,24,2,1,0,1,1,0,0,2,0,4
0,48388,0,38,2,1,1,0,1,0,0,4,0,0
1,18705,0,36,2,1,0,1,0,1,4,1,0,1
1,19738,0,63,1,1,0,0,0,3,0,3,0,0
0,62860,0,46,2,1,0,1,0,0,4,4,0,0
0,31460,0,39,2,1,1,0,1,0,0,1,0,0
1,41258,0,35,2,1,0,0,0,0,0,2,0,2
1,17234,0,41,2,1,1,1,0,0,0,2,0,3
1,23470,0,34,2,1,0,1,0,0,0,2,0,2
1,12412,0,47,1,1,0,1,0,0,4,2,0,4
1,34666,0,31,2,1,0,1,0,1,0,3,0,4
1,16826,0,26,2,1,0,1,0,0,0,2,0,3
0,23975,0,22,2,1,0,1,0,2,0,4,0,0
1,14530,0,25,2,2,0,1,0,3,4,4,0,4
0,126667,0,47,2,2,0,0,0,1,1,2,0,0
1,12688,0,44,2,2,0,1,0,1,1,4,0,4
1,26981,0,31,2,1,1,1,0,0,0,4,0,2
1,27461,0,21,2,1,1,0,1,1,0,2,1,3
0,8741,0,58,2,1,0,1,1,0,4,2,0,0
1,11692,0,44,1,1,0,1,0,1,3,2,0,4
0,83371,0,28,2,1,0,0,0,0,4,4,1,0
1,12687,0,30,2,1,0,1,1,3,3,4,0,4
1,94969,0,39,1,2,0,1,0,3,0,2,1,2
1,7377,0,22,1,1,0,1,1,3,1,3,0,0
0,8919,0,37,1,2,0,1,1,1,0,2,0,0
1,13051,0,31,2,1,0,1,0,3,0,2,0,1
0,44333,1,20,3,1,0,1,0,1,0,2,0,0
0,21636,0,49,1,1,0,1,0,1,0,3,0,4
0,40635,1,43,2,1,0,1,0,1,0,3,0,0
1,62436,0,36,2,1,0,1,0,3,4,4,0,4
1,14291,0,26,3,1,0,1,0,3,0,1,0,0
0,15390,0,34,3,1,0,1,0,0,1,3,0,3
1,94985,0,34,2,1,0,1,0,1,0,2,0,0
0,26882,0,31,2,1,0,1,0,3,2,4,0,0
0,20802,0,22,2,1,0,1,0,3,0,2,0,3
1,19241,0,26,2,1,0,1,0,3,0,4,0,2
0,26740,0,39,3,1,0,1,1,3,2,4,0,4
1,19210,0,45,1,1,0,1,0,1,4,2,0,2
0,89936,1,26,3,1,0,1,1,0,0,4,0,0
0,38428,0,33,1,2,0,1,1,2,0,1,0,1
0,23982,0,36,2,1,0,1,0,3,2,4,0,0
1,110427,0,30,3,1,0,1,0,3,0,2,1,2
1,63185,0,36,2,1,0,1,0,0,4,4,0,4
0,12965,0,37,2,1,1,0,0,0,0,2,0,0
1,18829,0,65,3,1,1,0,0,3,1,2,0,0
0,14291,0,22,2,1,0,1,0,3,0,3,0,0
0,12803,0,22,2,1,1,1,0,1,0,2,0,0
0,39298,0,29,2,1,0,1,1,3,0,2,0,0
0,23223,1,31,2,1,1,0,0,0,0,2,0,0
0,60724,0,33,2,1,0,1,0,3,0,4,0,1
0,89703,1,26,3,1,0,1,1,1,0,4,0,0
1,29287,0,37,1,2,0,1,0,2,0,3,0,2
1,11844,0,36,2,1,1,1,0,3,0,2,0,2
0,12563,0,43,2,1,0,1,0,1,0,2,0,0
0,47812,0,46,1,1,0,1,0,0,0,1,0,0
1,9953,0,23,2,2,0,0,1,0,0,3,0,0
0,33849,0,28,1,1,0,1,0,3,0,0,0,4
1,13684,0,48,2,1,0,1,0,0,1,4,0,4
1,10726,0,22,2,1,1,1,1,1,3,2,0,1
1,24937,0,35,2,1,0,1,0,0,0,2,0,1
0,23547,1,33,2,1,0,1,0,3,1,0,1,0
1,32204,0,30,3,1,0,1,0,3,4,2,1,4
1,11582,0,25,2,1,1,0,1,3,4,1,0,2
0,21198,1,33,2,1,0,0,0,0,0,1,0,0
1,11096,0,26,2,1,0,1,1,1,0,1,0,1
1,15928,0,25,2,1,0,1,0,1,0,2,0,1
0,70608,0,33,2,1,0,1,0,3,1,3,0,0
0,76054,0,37,2,1,1,0,0,0,0,3,0,0
1,25493,1,31,2,1,0,1,0,0,0,1,0,1
0,6196,0,30,2,1,0,1,0,0,1,3,0,0
0,34112,0,47,3,1,0,0,0,0,0,4,0,0
1,11231,0,36,2,1,0,1,0,1,0,4,0,4
0,25580,0,46,2,1,1,0,1,3,0,2,0,0
1,12732,0,28,2,1,0,1,0,2,0,2,0,0
1,129884,0,22,3,1,1,0,0,1,0,0,1,0
0,18632,0,22,2,2,1,0,0,3,1,1,0,0
0,11952,0,22,2,1,0,1,0,1,2,2,0,0
0,12148,0,24,2,1,0,1,1,0,0,0,0,0
1,46291,0,44,2,1,0,1,0,3,0,2,0,2
1,15005,0,23,3,2,0,1,0,3,0,2,0,2
0,20449,0,31,2,1,0,1,0,1,0,4,0,0
0,70986,0,33,3,2,0,0,0,1,4,3,0,4
1,59344,0,41,1,1,0,1,0,3,0,1,0,1
0,18217,0,34,3,1,0,1,1,3,0,1,0,0
1,75837,0,50,2,1,0,0,0,1,1,0,0,4
0,68887,0,29,2,1,0,1,0,0,0,1,0,0
0,9028,0,22,2,1,0,1,1,1,1,4,0,0
1,39283,0,32,2,1,1,0,0,0,0,4,0,4
0,56733,0,24,2,1,0,1,0,1,1,2,0,0
0,75254,0,43,3,2,0,1,0,3,1,2,1,0
1,13015,0,33,2,1,0,1,0,1,0,2,0,0
0,21918,0,31,2,1,0,1,0,0,0,3,0,0
0,14483,0,34,1,1,0,1,0,1,0,1,0,0
1,14436,0,37,2,2,0,1,0,0,0,4,1,4
1,11671,0,30,0,2,0,1,0,0,0,0,0,0
0,83445,0,36,2,1,0,0,0,0,4,4,1,0
1,20210,1,28,2,1,0,1,0,3,0,2,0,4
1,48171,0,31,2,2,0,1,0,0,0,3,0,3
0,23280,1,42,2,1,1,0,0,2,0,1,0,0
0,26506,0,38,1,1,0,1,0,1,2,2,0,0
1,23550,0,32,2,1,0,1,0,3,4,2,0,4
1,48251,0,20,2,1,1,0,0,0,4,3,1,4
0,36782,0,27,2,1,0,1,0,3,0,3,0,0
0,23376,0,33,1,1,1,0,0,2,0,1,0,0
1,75412,0,52,2,1,0,0,0,1,0,0,0,4
1,26315,0,32,2,2,1,0,0,0,2,2,0,3
1,60612,0,31,2,1,0,0,0,3,0,2,0,2
1,23240,0,39,3,1,0,1,0,3,0,0,0,3
1,12477,0,28,2,1,0,1,0,1,0,2,0,2
1,7772,0,33,2,1,0,0,0,3,2,4,1,4
0,7148,0,54,0,1,0,1,0,0,0,0,0,0
1,13357,0,31,2,1,0,1,0,3,0,4,0,4
1,36983,0,62,2,1,0,0,0,3,0,4,0,4
1,11101,0,23,2,1,0,1,0,0,3,2,0,3
1,69064,0,36,3,1,0,1,0,0,4,4,0,0
1,9928,0,32,1,1,1,0,1,1,3,2,0,4
0,18919,0,34,2,1,1,0,0,0,0,2,0,0
0,3651,0,30,2,1,0,0,0,0,0,1,0,1
1,44679,0,22,3,1,0,1,0,1,0,1,0,1
0,20871,0,50,2,1,1,0,0,3,0,3,0,2
0,30267,0,24,2,1,1,1,0,1,0,1,0,4
0,74306,0,26,3,1,0,1,0,3,4,0,1,0
0,126971,0,36,3,1,0,0,0,3,4,3,0,0
1,39010,0,41,1,1,0,1,1,3,1,4,0,4
1,28372,0,25,2,2,0,1,1,1,4,4,0,0
1,72507,0,20,2,1,0,1,0,3,4,4,0,3
0,47476,0,26,1,2,0,1,0,1,0,1,0,2
1,16390,0,48,2,1,0,1,0,1,0,2,0,1
1,15506,0,24,2,1,1,0,0,0,1,2,0,4
1,11449,0,27,1,1,1,0,0,3,4,4,0,4
1,23135,0,23,2,1,0,1,0,0,0,2,0,0
1,12276,0,37,2,1,0,1,0,0,4,4,0,4
0,22271,0,47,2,1,0,0,1,1,0,4,0,0
0,15742,0,33,2,1,0,1,0,3,3,2,0,2
0,15018,0,23,3,1,0,1,1,1,0,4,0,0
0,25853,0,57,2,1,0,1,0,3,0,2,0,4
1,11580,0,29,2,1,0,1,0,0,4,4,0,4
0,61883,0,74,1,1,1,0,0,0,0,1,0,0
1,39201,0,61,1,1,0,1,0,3,4,4,0,4
1,13140,0,23,2,1,0,1,1,1,0,1,0,1
1,30157,0,21,2,1,0,1,0,3,0,2,0,4
1,12552,0,28,2,1,0,1,1,0,3,0,0,4
0,46651,0,26,2,1,0,1,0,1,0,3,0,3
1,13626,0,30,2,1,0,0,0,0,0,1,0,0
1,64419,0,34,3,2,0,1,0,0,0,4,0,4
1,14516,0,35,3,1,0,1,0,2,4,4,0,2
0,12337,0,28,2,1,0,1,1,0,4,3,0,0
1,20891,0,55,2,1,0,1,1,0,0,2,0,2
0,40127,0,34,2,1,0,1,0,0,0,1,0,0
1,7566,0,60,2,1,0,1,0,1,4,4,0,1
1,22728,0,48,1,1,0,1,0,3,0,4,0,4
1,13364,0,42,2,1,0,1,0,1,0,2,0,1
1,60536,0,32,2,1,0,1,1,1,0,3,0,2
1,9234,0,25,1,1,0,1,0,3,4,4,0,2
0,79202,0,35,2,1,1,1,1,3,0,4,0,0
1,12695,0,26,3,1,1,0,0,3,4,4,0,4
0,23637,0,28,3,1,0,1,0,3,0,0,0,3
1,14565,0,27,1,1,0,1,0,3,0,2,0,1
0,12383,0,30,1,1,0,1,1,1,0,1,0,0
1,8812,0,36,2,1,0,1,1,0,4,4,0,4
0,39697,1,39,2,1,1,1,0,3,0,4,0,0
1,34586,0,35,1,1,0,1,0,3,0,3,0,4
1,13822,0,54,2,1,0,1,0,0,0,4,1,3
0,27484,0,31,2,1,0,1,0,1,3,3,0,2
1,5860,0,51,2,1,0,1,1,3,0,4,0,4
1,13837,0,37,1,1,0,1,1,3,4,4,0,2
0,9921,0,38,2,1,1,0,1,0,0,4,0,0
0,25999,0,26,2,1,1,1,0,3,2,2,0,0
0,26612,0,57,1,2,1,0,0,1,0,2,0,0
0,14066,0,58,1,1,0,1,1,1,0,3,0,0
1,17603,0,28,2,1,0,1,1,0,0,1,0,3
1,12455,0,37,2,1,0,1,1,1,1,4,1,4
0,24396,0,33,2,1,1,0,0,0,0,3,0,0
1,9037,0,26,2,1,0,1,0,3,0,2,0,2
0,108529,0,27,3,1,0,1,0,0,3,3,0,0
0,99598,0,27,2,1,0,1,0,1,4,4,0,0
0,65152,0,21,3,2,0,1,1,3,0,4,0,0
1,11315,0,24,1,1,0,1,0,3,1,0,0,4
1,48677,0,24,1,1,0,1,0,3,4,3,1,4
0,34977,0,39,2,1,0,1,1,0,0,2,0,0
0,15749,0,26,1,1,1,0,0,0,0,3,0,0
1,26371,0,27,2,1,0,0,0,3,4,4,1,4
0,9584,0,40,1,1,0,1,0,1,4,1,1,4
1,10053,0,30,2,1,0,1,1,1,4,2,0,0
1,5461,0,48,2,1,0,0,1,3,1,3,0,3
0,78958,0,33,2,1,0,0,1,1,0,2,1,0
1,23927,0,39,2,2,0,1,0,0,0,4,0,3
1,36174,0,36,2,2,0,1,0,0,0,2,0,2
1,19114,0,70,2,1,0,1,0,3,0,3,0,1
0,41318,0,24,2,2,0,0,0,0,0,4,0,0
1,20481,0,55,2,1,0,1,0,3,1,2,0,2
0,61164,0,27,1,1,0,0,0,0,0,2,0,0
1,13217,0,24,2,1,0,1,1,2,0,1,0,1
1,22939,0,30,2,1,0,1,0,1,0,4,0,4
0,23880,1,27,3,1,1,1,1,1,2,3,0,3
0,59128,0,28,2,1,0,1,0,0,0,1,0,0
1,39206,0,28,3,1,1,0,0,3,0,4,1,2
1,9743,0,36,2,1,0,1,1,1,1,2,0,1
1,35035,0,38,2,2,0,1,0,0,2,2,0,3
1,18704,0,39,2,1,1,0,0,3,1,2,0,4
1,9134,1,52,2,1,0,1,1,3,0,4,0,4
0,26986,0,39,2,1,0,0,0,1,1,2,0,0
1,20497,0,23,2,1,0,1,0,3,4,3,0,2
1,77668,1,51,2,1,1,0,0,1,3,4,1,4
1,8302,0,26,2,2,0,1,1,1,4,2,0,2
0,23603,1,26,2,1,1,0,0,0,0,2,0,0
1,12536,0,41,1,2,0,0,0,3,4,4,0,4
1,13212,0,31,2,1,0,1,0,3,0,4,0,4
0,26272,0,33,1,2,0,1,1,0,0,1,0,0
0,12798,0,25,1,2,0,0,1,0,4,4,0,0
1,27072,0,38,2,1,0,1,0,3,0,4,0,2
1,30770,0,66,2,1,0,1,1,3,4,2,0,4
1,63138,0,24,2,1,0,0,0,3,4,4,0,4
1,72588,0,34,3,1,0,0,0,3,0,2,0,4
1,13384,0,28,2,1,0,1,0,3,4,2,0,1
1,48068,0,55,2,2,0,1,0,0,0,3,1,3
1,11456,0,38,1,1,1,0,0,3,4,2,0,4
0,14291,0,22,2,1,0,0,0,0,0,3,0,2
1,6730,0,44,1,1,0,1,0,3,0,2,0,2
1,11754,0,28,2,1,0,1,0,3,0,2,0,2
0,39902,0,45,2,1,0,0,1,0,0,3,0,0
1,13508,0,26,2,1,0,1,1,2,0,1,0,1
0,22363,0,32,2,1,0,0,0,0,0,2,0,0
0,7016,0,24,2,1,0,1,1,2,0,2,0,0
1,27776,0,37,2,1,0,1,0,0,3,2,0,2
1,37435,0,22,2,1,1,1,0,1,0,1,0,4
0,89420,0,34,3,1,1,0,0,1,1,1,0,0
1,25882,0,29,3,1,0,1,0,3,0,1,1,1
0,16631,0,26,1,1,1,0,0,0,0,3,0,2
0,29768,1,34,2,1,1,1,0,0,4,2,0,0
0,15447,0,32,1,1,1,0,0,0,0,3,0,0
1,29687,0,22,2,2,0,1,0,0,4,2,0,2
0,66907,0,36,2,1,0,0,1,3,4,2,0,0
0,30184,0,20,2,1,0,1,0,2,4,2,0,0
0,41338,0,42,2,1,0,1,0,2,4,2,0,0
1,19637,0,42,2,1,0,1,0,1,0,4,0,4
0,62869,0,23,1,1,1,0,0,0,0,0,0,0
0,9041,0,50,2,1,0,0,0,1,0,1,0,0
0,23076,0,31,2,1,0,0,1,1,0,0,0,0
0,13333,0,39,1,1,0,1,0,0,0,1,0,0
1,38132,0,23,2,1,0,1,0,3,1,1,1,4
0,27526,1,47,2,1,1,0,1,1,1,3,0,0
1,33206,0,27,2,1,1,0,0,1,2,2,0,4
0,20160,0,31,2,1,1,0,1,1,4,1,0,0
0,14244,0,26,1,1,0,1,1,3,0,2,0,0
1,85392,1,40,2,1,1,1,0,3,0,1,0,3
0,12119,0,33,2,1,0,1,0,1,0,2,0,0
1,14727,0,40,2,1,0,1,0,3,4,4,0,4
1,42089,0,28,3,1,0,1,1,1,0,0,0,2
1,33812,0,27,2,1,0,1,0,1,4,2,1,1
1,10992,0,33,2,1,0,1,0,1,0,2,0,0
0,19411,0,23,2,1,0,1,0,3,0,1,0,0
1,28787,0,39,3,1,0,1,0,0,0,3,1,1
0,7048,0,41,2,1,0,1,0,3,0,2,0,2
1,12942,0,33,0,1,1,0,0,3,2,0,1,2
1,47256,0,30,2,1,0,1,0,1,0,1,0,1
1,20545,0,38,2,1,0,1,0,0,0,1,0,1
0,18194,0,26,2,1,0,1,1,0,0,1,0,4
1,21475,0,26,2,1,1,0,0,1,0,3,0,2
0,10805,0,26,2,1,0,1,0,0,0,0,0,4
0,11564,0,23,0,1,0,0,1,1,0,2,0,3
1,18923,0,34,2,1,1,1,0,3,0,3,0,1
0,47044,0,28,1,1,0,1,0,1,0,1,0,0
1,59807,0,19,2,1,0,1,0,3,0,4,0,4
1,39004,0,22,1,1,0,1,0,2,0,1,0,0
1,40636,0,26,2,2,1,0,0,3,0,4,0,0
0,23566,1,45,2,1,0,1,0,0,1,0,0,0
1,32027,1,51,3,1,0,1,0,3,2,2,0,2
1,15788,0,52,1,1,1,0,0,3,1,2,0,4
0,7167,0,24,2,1,0,1,1,0,0,1,0,0
1,24194,0,45,2,1,0,1,0,1,0,1,0,2
1,31328,0,36,3,1,1,0,0,1,0,1,0,1
1,11421,0,26,1,1,0,1,0,3,1,0,0,0
1,26664,0,23,2,1,0,1,0,3,0,4,1,1
0,52236,0,35,2,1,0,1,0,3,0,3,0,0
1,61713,0,24,2,1,1,0,0,0,1,3,1,2
0,68751,0,32,3,2,0,1,1,1,1,0,0,0
0,12565,0,32,2,1,0,1,0,1,4,3,0,0
0,42923,1,28,3,1,0,1,0,1,0,4,0,0
1,26478,0,29,1,2,0,1,1,3,4,2,0,2
0,90258,0,24,2,1,1,1,0,1,1,1,0,0
1,33617,0,22,2,2,0,1,0,3,2,2,0,2
1,25054,0,19,1,1,0,1,0,3,2,4,0,4
1,13677,0,25,2,2,0,1,0,0,1,2,0,4
0,27989,0,37,1,1,1,0,1,1,0,2,0,0
1,96077,1,27,1,1,0,1,0,3,0,1,0,0
0,15149,0,45,3,1,0,1,0,1,0,4,0,0
1,35027,0,40,2,1,0,1,0,3,4,4,0,4
0,64194,0,33,2,2,0,1,1,3,0,4,0,0
1,30538,0,26,2,2,0,1,0,3,4,2,0,4
0,20605,0,37,2,1,0,1,0,2,0,2,0,0
1,25959,0,24,2,1,0,1,0,0,3,2,0,1
1,12615,0,39,2,1,0,1,0,3,0,2,0,2
1,11366,0,21,2,1,0,1,0,1,0,2,0,4
0,31538,0,36,2,1,1,0,0,1,4,1,0,0
0,50527,0,28,2,1,0,1,1,3,4,1,0,0
0,9855,0,25,2,1,1,0,0,3,0,3,0,0
0,52304,0,74,3,2,0,0,0,3,2,2,1,0
1,6723,1,20,0,1,0,1,0,2,0,1,0,0
0,40422,1,28,3,1,0,1,0,1,0,3,0,3
1,15336,0,31,2,1,0,1,0,1,4,2,0,0
1,20228,0,24,1,2,1,0,0,0,0,3,0,1
1,143758,0,40,3,1,0,0,1,1,0,4,0,0
0,63487,0,61,2,1,0,1,0,0,4,4,0,0
0,25060,0,35,0,1,0,1,0,0,0,0,0,0
0,143501,0,49,3,1,0,1,1,1,3,4,0,0
0,42705,0,26,2,1,0,1,0,2,0,2,0,0
1,110572,0,74,3,2,0,1,0,3,4,2,1,2
1,70787,0,39,3,1,1,1,0,1,1,3,0,4
0,21755,0,36,2,1,0,1,0,2,0,3,0,4
1,5236,0,44,2,1,0,1,0,3,0,4,0,4
0,5458,0,26,0,1,0,0,0,2,0,1,0,0
1,26698,0,38,3,1,0,1,0,0,0,4,1,4
0,74897,0,41,3,1,0,1,0,3,4,1,1,0
1,44750,0,30,3,1,1,1,0,1,0,4,0,1
0,27315,0,21,2,2,0,1,0,0,0,4,0,0
0,26655,0,42,2,1,0,1,0,0,0,4,0,0
0,12191,0,39,2,2,0,1,0,1,0,0,0,0
1,15026,0,43,1,1,0,1,0,3,3,2,0,1
1,14676,0,41,2,1,0,1,0,3,0,1,0,0
1,19238,0,23,3,2,1,0,0,3,0,3,0,2
0,9589,0,34,2,1,0,1,1,0,4,2,0,0
1,95323,0,36,2,1,0,1,0,1,0,2,0,2
0,9671,0,24,2,1,1,0,0,1,0,1,0,0
0,8376,0,24,2,2,0,1,1,1,0,4,0,0
0,68608,0,29,2,1,0,1,0,0,0,4,0,0
0,68010,0,45,0,1,0,1,0,0,0,2,0,0
1,8747,0,28,2,2,1,0,0,0,0,4,0,0
0,11684,0,26,3,2,0,0,0,1,0,4,0,0
0,24761,0,26,2,1,0,1,0,3,0,4,0,0
0,38412,0,23,0,1,1,1,0,1,2,0,0,4
1,9897,0,31,2,1,0,1,0,3,4,4,0,2
0,68334,0,25,2,1,1,0,1,3,4,2,0,0
0,126925,0,41,3,1,0,0,1,3,4,4,0,0
